instituicao,ano,arquivo_pdf,categoria_ref,padrao,termo_encontrado,contexto_esq,contexto_dir,referencia_limpa,valido,nota
PUC-SP,2023,PUCSP_2023_Manual.pdf,bibliografia,Ref_ABNT,"Teixeira, 1998","dos anos 1960, tanto nos traba- lhos do grupo liderado por Newell e Simon quanto nos de Marvin Minsky e Seymour Papert (",", p. 36, 43). O que está aí implicada é também uma mudança no conceito de inteligência que passa a ser definida como cap","TEIXEIRA, João de Fernandes. Mentes e máquinas. Uma introdução à
 ciência cognitiva. Porto Alegre: Artes Médicas, 1998.",Sim,Acadêmico nacional
PUC-SP,2023,PUCSP_2023_Manual.pdf,bibliografia,Ref_ABNT,"Newell, 1980","ue “os humanos são exemplos de sistemas simbólicos físicos, e, em virtude disso, a mente se insere no universo físico” (",", p. 136). Conclusão, o pensamento era, então, visto como um sistema físico de símbolos, um tipo especial de máquina Tur","NEWELL, Allen. Physical symbol system. Cognitive Science, v. 4, p. 135-
 183, 1980.",Sim,Acadêmico internacional
PUC-SP,2023,PUCSP_2023_Manual.pdf,bibliografia,Ref_ABNT,"Fetzer, 1991",", de algum modo físico. Assim, os símbolos são como as letras de um alfabeto e as expressões como palavras e sentenças (",", p. 38). Depois de descrever o funcionamento de um sistema simbólico físico exemplar e depois de definir sua natureza e","FETZER, James. Aspects of artificial intelligence. Dordrecht: Kluver, 1991.",Sim,Acadêmico internacional
PUC-SP,2023,PUCSP_2023_Manual.pdf,bibliografia,Ref_ABNT,"Garfield, 1987","não está na sua realização física particular, mas sim no seu papel computacional no sistema processador de informação (",", p. 313-323). Assim, um mesmo papel funcional que caracteriza um determi- nado estado mental pode estar presente em sis","GARFIELD, Jay L. (ed.). Modularity in knowledge representation and
 natural language understanding. Cambridge, MA: MIT Press, 1987.",Sim,Acadêmico internacional
PUC-SP,2023,PUCSP_2023_Manual.pdf,bibliografia,Ref_ABNT,"Santaella, 2023","nas duas entre outras três, a IA evolucionista, a IA bayesiana e a IA analógica, conhecidas como as cinco tribos da IA (",", p. 37-43). Mas o sucesso atual alcançado pela IA conexionista não surgiu de um flash momentâneo, pois suas pesquisas t","SANTAELLA, Lucia. A inteligência artificial é inteligente? São Paulo:
 Almedina, 2023.",Sim,Acadêmico nacional
PUC-SP,2023,PUCSP_2023_Manual.pdf,bibliografia,Ref_ABNT,"Teixeira, 1998",bolos e tampouco regras para manipu- lá-los”. Pretende-se que esse conjunto de neurônios artificiais modele a cognição (,", p. 84). Embora infinitamente menos complexo do que o cérebro, esse mo- delo da mente inspira-se na estrutura e modo de","TEIXEIRA, João de Fernandes. Mentes e máquinas. Uma introdução à
 ciência cognitiva. Porto Alegre: Artes Médicas, 1998.",Sim,Acadêmico nacional
PUC-SP,2023,PUCSP_2023_Manual.pdf,bibliografia,Ref_ABNT,"Rouse, 2022",s a capacidade de raciocinar e planejar para atingir determinados objetivos. São muitas as tecnologias de IA. Conforme (,"), entre elas as mais conhecidas são: • Automação como, por exemplo, a automação robótica de processos. • Aprendizado de","ROUSE, Margaret. AI (Artificial Intelligence), 2022.",Sim,Acadêmico internacional
PUC-SP,2023,PUCSP_2023_Manual.pdf,bibliografia,Ref_ABNT,"Rouse, 2022",outras tarefas passíveis de serem programadas. • IA na manufatura: incorporação de robôs no fluxo de trabalho huma- no (,"). Entretanto, os setores de aplicações da IA são vastíssimos e tendem a se expandir. Um panorama das aplicações em vári","ROUSE, Margaret. AI (Artificial Intelligence), 2022.",Sim,Acadêmico internacional
PUC-SP,2023,PUCSP_2023_Manual.pdf,bibliografia,Ref_ABNT,"Eldridge, 2024",ressão proveniente da economia e ela significa a imposição de um custo a uma parte como efeito indireto de outra parte (,). A expressão passou a ser empregada com frequência no campo da IA para o qual o significado foi transposto com a final,"ELDRIDGE, Stephen. Negative externality. Encyclopedia Britannica, 15
 mar., 2024.",Sim,Acadêmico internacional
PUC-SP,2023,PUCSP_2023_Manual.pdf,bibliografia,Ref_ABNT,"Garrote e Guedes, 2023","re espaço para que a regulação setorial floresça a partir de fundações comuns a diferentes setores da economia. (Bioni,",", p. 6) O estudo realizado por Bioni et al. (2023, p. 611) levanta alguns tó- picos capazes de auxiliar na organização d","BIONI, Bruno; GARROTE, Marina; GUEDES, Paula. Temas
 centrais na regulação de IA: o local, o regional e o global na busca da
 interoperabilidade regulatória. São Paulo: Associação Data Privacy Brasil
 de Pesquisa, 2023.",Sim,Acadêmico nacional
